年份,死亡人數 / 0-4歲,死亡人數 / 5-9歲,死亡人數 / 10-14歲,死亡人數 / 15-19歲,死亡人數 / 20-24歲,死亡人數 / 25-29歲,死亡人數 / 30-34歲,死亡人數 / 35-39歲,死亡人數 / 40-44歲,死亡人數 / 45-49歲,死亡人數 / 50-54歲,死亡人數 / 55-59歲,死亡人數 / 60-64歲,死亡人數 / 65-69歲,死亡人數 / 70-74歲,死亡人數 / 75-79歲,死亡人數 / 80-84歲,死亡人數 / 85-89歲,死亡人數 / 90-94歲,死亡人數 / 95-99歲,死亡人數 / 100歲以上
81年,2665,553,682,1687,1889,2327,2792,3304,3698,3599,5209,6971,10768,13201,14688,14838,11857,6571,2485,629,          -
82年,2522,519,718,1823,1942,2362,2848,3418,4056,3730,5229,6990,10408,13471,14618,14604,12192,6652,2505,682,          -
83年,2504,476,640,1863,1844,2200,2873,3545,4343,3915,5259,7123,10076,13931,15070,14673,12942,7249,2669,701,          -
84年,2962,451,652,1766,1941,2173,2808,3644,4429,4293,5156,7106,10190,14375,16334,15598,14081,7911,2996,827,          -
85年,3031,431,549,1739,1715,2067,2874,3622,4619,4768,5071,7408,9941,14198,16642,16208,14423,8493,3276,858,          -
86年,2941,389,466,1603,1516,2022,2741,3735,4693,5076,4998,7063,9424,14083,16554,16358,14149,8922,3393,888,          -
87年,2753,385,468,1482,1618,1815,2591,3787,4793,5355,4900,7144,9457,13904,16961,17036,14492,9699,3872,831,146
88年,2635,482,524,1406,1563,1790,2559,3731,4820,5772,5210,7098,9586,13414,17836,17800,14746,10589,4023,929,141
89年,2541,332,360,1260,1576,1646,2426,3524,4848,6010,5489,6811,9235,12792,17705,18351,14886,10747,4280,1050,147
90年,2250,325,337,1092,1457,1528,2283,3524,4729,5978,6170,6637,9383,12645,17957,18845,15872,10962,4579,1165,174
91年,1953,277,285,919,1368,1646,2160,3335,4610,5946,6615,6226,9269,12199,17654,19393,16878,11253,5002,1200,169
92年,1663,332,303,833,1316,1584,2229,3276,4697,6039,7176,6293,9296,12266,17317,20235,17471,11826,5518,1329,230
93年,1663,253,284,877,1285,1629,2197,3310,4894,6313,7556,6655,9135,12050,16983,20887,18881,12070,6193,1420,230
94年,1502,258,304,836,1317,1918,2312,3396,4979,6496,7915,7399,9012,12153,16510,21939,19902,12973,6720,1686,252
95年,1360,235,290,764,1168,1751,2243,3340,5040,6409,8146,8101,8142,11730,15580,20886,19625,13079,6460,1734,288
96年,1320,221,236,654,1040,1570,2077,3093,4826,6477,7999,8748,8086,12034,15473,21286,20916,14806,7182,1998,329
97年,1263,200,224,648,930,1437,2078,3047,4716,6556,7991,9166,8272,11677,15646,21015,22201,15964,7740,2436,387
98年,1078,250,256,628,865,1452,2024,2922,4519,6299,8076,9603,8512,11389,15193,20149,22743,16830,7851,2484,390
99年,958,170,226,610,759,1309,1946,2631,4328,6306,8011,9954,8959,10811,14848,19859,23935,18207,8725,2788,464
100年,1106,147,216,600,841,1168,2000,2839,4382,6400,8318,10152,10256,10582,15404,20271,24889,19927,10105,3052,551
101年,1115,159,203,580,781,1114,1959,2792,4229,6361,8106,10021,11117,10514,15359,19744,25085,20923,11087,3383,607
102年,955,153,211,544,720,912,1734,2618,3886,6067,8414,10174,11853,10432,15322,19169,24691,22062,11551,3547,671
