年份,研究院(含博士班),大學,專科(含二、三年制、五專後二年) ,高中,高職(含五專前三年),國中
86年,84756,683194,793140,835591,1880364,2185990
87年,100038,703664,809997,763282,1819799,2217710
88年,121250,757206,887370,794513,1967716,2189597
89年,153286,851864,990549,814478,2081791,2043391
90年,189942,966067,1068454,829518,2162400,1871548
91年,225972,1081496,1120310,842215,2212992,1747139
92年,307360,1283608,1275651,946336,2260149,1523268
93年,341540,1373306,1270084,948984,2276595,1509758
94年,379864,1461615,1266651,964433,2296244,1491212
95年,424680,1559285,1259384,971310,2312949,1466673
96年,467888,1668147,1244159,968730,2327100,1444730
97年,505864,1773740,1230835,958059,2342556,1437262
98年,543941,1873991,1215899,954417,2368690,1413663
99年,583708,1990841,1206363,943562,2380299,1388110
100年,635615,2090414,1200020,937405,2387133,1363800
101年,684726,2199894,1197047,916355,2389053,1349120
102年,724676,2310535,1191138,892918,2386627,1321643
103年,762290,2402281,1187284,879144,2390469,1301195
